Quad_Cat,Mean,Min,Max,MeanRR,MedianRR,MinRR,MaxRR,LF,HF,VLF,Ibi,Bpm,Sdnn,Sdsd,Rmssd,Pnn50,pnn20,Pnn50pnn20
1,9.40476E-07,-0.741816124,0.919643098,1531,1562,14,3130,1.19475E-09,2.23183E-06,4.40352E-11,763.8231579,78.55952204,245.8757887,469.0529087,102253.7461,0.478902954,0.481012658,0.995614035
0,4.33064E-07,-0.38680876,0.452852538,1582,1599,1336,1695,1.06043E-10,1.28318E-07,2.94619E-12,794.1735537,75.57380108,240.8139839,468.7808272,127309.4367,0.477178423,0.477178423,1
0,9.0341E-06,-0.311828733,0.398468013,1637,1659.5,1421,1798,2.67931E-09,6.22543E-08,8.17779E-10,781.6612903,76.86879552,263.0732722,492.5614716,130746.3059,0.459459459,0.459459459,1
3,-1.60751E-05,-0.33081728,0.405026418,1724,1727,1574,1895,1.34521E-08,1.34818E-07,4.14795E-09,720.92,83.24153411,243.2807437,419.7978843,163218.7363,0.424749164,0.43812709,0.969465649
1,3.1E-06,-0.30337526,0.390093332,1634,1654,1354,1837,7.9534E-10,1.13508E-07,2.6881E-10,779.4172043,77.04453207,266.3037439,502.9144611,121215.41,0.480603448,0.487068966,0.986725664
2,2.87222E-05,-0.322879936,0.41884709,1545,1571.5,1270,1779,6.48765E-08,2.89145E-07,2.14885E-08,764.6075388,78.48403116,255.7090812,492.4841785,107366.4534,0.493333333,0.493333333,1
2,-1.91533E-05,-0.321923881,0.4403518,1489,1513,1178,1721,2.93584E-08,1.7484E-07,9.55869E-09,745.276087,80.47739446,232.243135,441.7738541,115639.0579,0.479302832,0.479302832,1
2,-6.51228E-06,-0.274164416,0.357305596,1395,1376,1148,1711,2.45568E-09,8.93362E-08,6.85088E-10,757.8770764,79.16673948,255.5275336,383.3385916,137529.0829,0.476666667,0.486666667,0.979452055
0,-1.54413E-05,-0.318349188,0.432836943,1608,1629.5,1294,1782,1.73203E-08,2.30434E-07,5.26672E-09,765.2005141,78.44083751,247.479055,450.2004223,143662.9239,0.43556701,0.443298969,0.98255814
1,2.6139E-05,-0.340873682,0.439093225,1660,1672,1474,1803,4.7619E-08,2.33392E-07,1.64133E-08,791.4332494,75.74652194,275.470175,522.0886031,117570.7226,0.477272727,0.477272727,1
3,-1.36474E-05,-0.324321058,0.450139017,1674,1689,1491,1813,6.46191E-09,1.80472E-07,1.86549E-09,760.4611399,79.03903741,256.2172204,456.1144733,140982.5478,0.442708333,0.442708333,1
3,-2.69161E-06,-0.299382595,0.389383924,1605,1600.5,1440,1772,1.03004E-09,1.2076E-07,8.36304E-11,794.1079545,75.56621294,258.9044988,506.8962086,77849.26191,0.497142857,0.497142857,1
1,-2.33478E-05,-0.377256526,0.412286158,1591,1599,1334,1764,4.68228E-08,3.62276E-07,1.53254E-08,730.4768612,82.19042432,238.4804932,309.5820185,121103.7761,0.413306452,0.481854839,0.857740586
0,-8.412E-06,-0.372207163,0.389334551,1496,1493,1384,1628,4.79673E-09,2.82932E-07,1.02001E-09,1142.482143,52.55955713,370.0718234,374.358399,220286.4892,0.275449102,0.335329341,0.821428571
0,5.25682E-05,-0.368753934,0.384403937,1547,1550,1458,1631,8.62645E-08,2.95793E-07,2.76026E-08,848.7134503,70.70284935,315.4693427,387.3282677,166505.7217,0.370588235,0.4,0.926470588
3,3.86699E-05,-0.374736508,0.440402883,1547,1562,1244,1764,8.18268E-08,8.76327E-07,2.4093E-08,739.7465753,81.02913454,270.1597526,396.5042782,159161.2329,0.419243986,0.494845361,0.847222222
1,7.62661E-05,-0.375880811,0.416544707,1628,1646,1352,1791,4.59772E-07,1.5282E-06,1.63006E-07,655.0307971,91.42838248,216.2294242,258.1665917,115234.6352,0.355716878,0.499092559,0.712727273
2,-2.93691E-05,-0.362904297,0.44541909,1405,1388,1181,1803,7.06651E-08,4.32045E-07,2.25141E-08,930.7810811,64.41941496,327.4328125,333.0237318,166664.4757,0.319783198,0.420054201,0.761290323
2,-2.33391E-06,-0.367291076,0.439520448,1385,1403,1116,1664,8.48816E-10,1.21169E-07,1.48263E-10,1182.613793,50.80026418,295.5924078,286.3634362,156904.0457,0.252595156,0.346020761,0.73
2,4.79911E-05,-0.381913338,0.451141314,1346,1326,1157,1665,1.19513E-07,5.41509E-07,3.69223E-08,1037.490909,57.93327624,295.1659855,315.6515893,148198.3684,0.264840183,0.351598174,0.753246753
0,-3.1493E-06,-0.3799006,0.412106083,1604,1610,1381,1750,7.74669E-10,1.77504E-07,2.18383E-10,745.5438596,80.45214103,238.7211804,337.7409228,111234.6746,0.427135678,0.484924623,0.880829016
1,-1.85872E-05,-0.391450514,0.434655067,1656,1659,1490,1769,2.75815E-08,3.08907E-07,8.37212E-09,621.0098814,96.49117242,175.913106,247.275555,114081.4326,0.382178218,0.516831683,0.739463602
3,1.69037E-05,-0.378197489,0.464194137,1568,1559,1315,1725,9.58854E-09,7.30319E-08,2.85365E-09,746.377551,80.26129056,265.0244893,443.4781329,158756.6826,0.441025641,0.497435897,0.886597938
3,0.000197341,-0.38477835,0.425825264,1681,1700,1492,1782,1.18694E-06,3.53155E-06,3.89806E-07,605.987013,99.04723956,136.5813422,210.9981115,102314.8442,0.32173913,0.495652174,0.649122807
1,1.2588E-05,-0.365843684,0.492099404,1588,1756.5,18,2054,1.30109E-08,3.45922E-08,4.44318E-09,849.6487119,70.63755343,247.8121281,468.9710796,92083.3543,0.478873239,0.483568075,0.990291262
0,1.24503E-05,-0.31886873,0.417124156,1516,1683.5,16,1777,6.55597E-09,1.45978E-08,2.17122E-09,844.4801762,70.90875163,247.5978039,493.8379853,38458.12069,0.5,0.5,1
0,3.97656E-05,-0.316681482,0.414405,1625,1630,1023,2129,5.02893E-08,1.09671E-07,1.58083E-08,813.8547486,73.99135397,226.538714,448.1861296,53833.03037,0.5,0.5,1
3,-5.25227E-06,-0.368184834,0.458995251,1596,1778,17,1839,2.26043E-09,3.73533E-07,4.48422E-10,869.6330645,68.86093686,276.3343114,530.4827654,86555.98198,0.48582996,0.48582996,1
1,6.65272E-06,-0.344184226,0.472329225,1590,1771,17,2404,3.58539E-09,1.84458E-08,1.24186E-09,829.3340961,72.41524688,259.2499444,473.1462837,117488.6028,0.470183486,0.470183486,1
2,4.58968E-05,-0.350083575,0.517126254,1575,1673,14,3368,1.60151E-07,3.79326E-07,5.477E-08,822.9522673,72.92763958,249.4354822,468.0735206,126169.6052,0.488038278,0.488038278,1
2,3.7334E-06,-0.334534003,0.440696337,1519,1674,17,2190,1.11672E-09,4.63513E-09,3.63399E-10,833.43309,71.92339809,243.2510689,480.7202148,58416.40993,0.497560976,0.497560976,1
2,-3.37915E-05,-0.356258272,0.470521487,1520,1663,16,1798,5.65881E-08,1.12964E-07,1.82623E-08,831.2335766,72.0889184,241.6661376,476.2551161,62237.85397,0.501831502,0.501831502,1
0,-5.28933E-06,-0.332795492,0.43883934,1721,1736,20,2291,2.86145E-09,3.1769E-08,6.32682E-10,854.3390805,70.19449305,251.6135971,493.5154241,70517.7029,0.492795389,0.492795389,1
1,2.09375E-06,-0.358669446,0.466282041,1597,1715.5,17,2078,2.96088E-09,7.56721E-08,1.55928E-10,818.875,73.27238931,239.8248058,447.6057493,107991.8983,0.477806789,0.485639687,0.983870968
3,5.51612E-05,-0.341027822,0.490130144,1520,1717.5,17,3412,9.69747E-08,2.10897E-07,3.04221E-08,797.2554348,75.37227794,245.4785587,435.0445111,120388.9315,0.448087432,0.453551913,0.987951807
3,-3.90543E-07,-0.346305144,0.470417338,1582,1778,17,2031,1.20955E-09,3.90679E-08,2.37804E-11,790.180791,75.99314069,253.1692029,440.3677569,137880.5654,0.4375,0.4375,1
1,5.39508E-05,-0.450431008,0.537260964,1729,1723,1347,2442,2.31909E-07,8.89256E-07,8.14942E-08,751.9233954,79.87985014,210.886231,368.625883,129214.2244,0.43153527,0.46473029,0.928571429
0,2.48706E-06,-0.421412411,0.552221299,1872,1848,1540,2395,4.50239E-10,2.72743E-07,8.71571E-11,700.729927,85.52590657,178.0732443,284.8536671,118122.9224,0.373626374,0.395604396,0.944444444
0,1.46296E-05,-0.419928444,0.571919631,1623,1643,1243,1809,1.01768E-08,2.20793E-07,2.19382E-09,784.4162162,76.45773244,230.7327336,422.5661136,134009.4334,0.451086957,0.467391304,0.965116279
