Quad_Cat,Mean,SD,Variance,Minimum,Maximum,Number of Peaks,Number of Valleys,Ratio
1,3.560146243,0.139966108,0.019590511,3.317402789,3.982483904,1.93E-05,1.93E-05,5.30E-11
0,5.567496013,0.659287207,0.434659622,4.043869449,7.146960287,3.63E-05,3.63E-05,1.88E-10
0,4.072887837,0.530539192,0.281471834,2.393336905,4.711197092,4.11E-05,4.11E-05,2.82E-10
3,5.407625223,0.891520642,0.794809054,3.213555823,7.700064494,4.15E-05,4.15E-05,1.91E-10
1,3.232516924,0.159728335,0.025513141,2.973925921,3.608285413,3.03E-05,3.03E-05,8.35E-11
2,3.751488823,0.202707736,0.041090426,3.425198682,4.308028655,3.18E-05,3.18E-05,9.21E-11
2,4.980060179,0.517574532,0.267883396,3.320883076,6.261925553,2.91E-05,2.91E-05,8.47E-11
2,4.01725371,0.333621493,0.111303301,3.305709828,4.656700479,5.68E-05,6.12E-05,2.48E-10
0,4.736634643,1.16325397,1.353159799,1.859818992,6.673863391,4.69E-05,4.36E-05,1.57E-10
1,3.079465482,0.112009026,0.012546022,2.905534775,3.288227828,6.34E-06,9.52E-06,2.01E-11
3,4.28802354,1.029059277,1.058962995,2.955364171,6.500643517,3.40E-05,4.07E-05,2.31E-10
3,4.198029792,0.470800208,0.221652836,3.13648455,5.366421539,2.85E-05,2.85E-05,2.03E-10
1,9.118960539,0.733035405,0.537340905,8.370944838,12.01120764,2.20E-05,1.93E-05,6.05E-11
0,7.602410703,0.931679851,0.868027345,6.552884505,10.61675776,3.11E-05,3.11E-05,1.61E-10
0,8.898573821,0.802814534,0.644511176,8.062103703,11.73710523,2.74E-05,3.43E-05,1.88E-10
3,12.67025859,1.048078758,1.098469083,8.88633577,14.64693224,4.61E-05,4.61E-05,2.12E-10
1,9.473160296,2.529200814,6.396856759,6.842081451,14.99455639,3.31E-05,3.31E-05,9.11E-11
2,10.08543413,0.854045329,0.729393424,8.4815053,13.19726918,3.47E-05,3.47E-05,1.00E-10
2,9.307058101,0.2643272,0.069868869,8.879638518,10.40409969,3.20E-05,3.49E-05,9.31E-11
2,10.29186434,0.403977203,0.163197581,9.564769993,11.08566467,4.81E-05,4.81E-05,2.10E-10
0,10.50323204,1.112679713,1.238056145,8.760074798,13.22987743,5.70E-05,5.70E-05,1.91E-10
1,9.480927407,0.719741861,0.518028347,8.743960201,12.81692042,1.59E-05,1.27E-05,5.03E-11
3,10.21584587,1.955147821,3.822603001,7.654496571,13.47828493,4.07E-05,4.75E-05,2.77E-10
3,9.115193009,0.799964801,0.639943683,8.370212597,11.25931856,2.85E-05,3.56E-05,2.03E-10
1,2.400253074,0.047688168,0.002274161,2.29196034,2.509719139,3.30E-05,3.58E-05,9.08E-11
0,5.20994675,0.35893247,0.128832518,4.350224414,5.976737559,5.70E-05,5.70E-05,2.96E-10
0,6.820880318,0.779170805,0.607107143,5.302214779,8.734989899,5.48E-05,5.48E-05,3.75E-10
3,2.4079233,0.290573821,0.084433145,2.081209196,2.948495997,3.69E-05,3.69E-05,1.70E-10
1,2.18389666,0.189965262,0.036086801,1.8725291,2.627039818,3.31E-05,3.31E-05,9.11E-11
2,2.355090466,0.047768389,0.002281819,2.270043404,2.455114553,2.89E-05,2.89E-05,8.37E-11
